tenure,monthly_charges,total_charges,support_calls,churn
15,23,345,4,0
29,37,1073,1,0
55,24,1320,0,0
28,49,1372,8,1
4,91,364,3,1
70,73,5110,3,1
36,20,720,2,1
44,55,2420,2,0
44,33,1452,1,1
13,65,845,5,1
6,113,678,7,1
69,35,2415,6,1
11,90,990,4,1
47,93,4371,3,0
6,104,624,3,1
38,30,1140,3,0
49,55,2695,7,1
47,40,1880,5,1
27,105,2835,4,0
22,88,1936,3,0
60,68,4080,4,0
42,118,4956,0,0
5,60,300,6,1
35,28,980,3,1
28,103,2884,7,1
51,102,5202,7,1
19,53,1007,2,0
72,88,6336,4,1
52,66,3432,3,0
66,83,5478,1,0
15,39,585,10,1
21,107,2247,6,1
9,69,621,6,1
60,87,5220,4,0
15,107,1605,8,1
35,118,4130,10,1
44,34,1496,4,1
21,78,1638,0,1
65,117,7605,2,0
39,101,3939,8,1
26,39,1014,5,0
70,119,8330,8,1
1,96,96,5,1
63,22,1386,1,1
40,50,2000,0,0
11,30,330,7,1
9,117,1053,8,1
17,36,612,10,1
61,90,5490,2,1
68,97,6596,6,1
28,89,2492,3,1
52,105,5460,10,1
48,76,3648,8,1
58,35,2030,3,0
9,63,567,0,1
71,49,3479,9,1
29,20,580,1,0
30,28,840,0,1
10,85,850,3,1
36,105,3780,7,1
28,89,2492,2,1
32,120,3840,7,1
53,44,2332,1,0
56,65,3640,6,1
53,79,4187,0,0
8,71,568,5,1
14,51,714,3,0
69,77,5313,2,1
24,55,1320,7,1
32,29,928,7,1
71,32,2272,0,0
12,116,1392,3,0
53,82,4346,7,1
28,71,1988,0,0
49,20,980,6,1
34,120,4080,7,1
37,74,2738,8,1
63,39,2457,3,1
28,27,756,9,1
70,27,1890,5,0
7,94,658,7,1
65,87,5655,2,0
66,30,1980,2,0
9,106,954,3,1
52,35,1820,9,1
32,94,3008,9,1
6,99,594,1,1
54,104,5616,9,1
67,60,4020,4,0
41,50,2050,4,1
17,105,1785,10,1
39,78,3042,5,0
2,78,156,9,1
13,29,377,8,1
28,84,2352,4,0
45,28,1260,3,1
37,40,1480,7,1
70,110,7700,4,0
71,58,4118,10,1
14,37,518,4,0
14,115,1610,8,1
20,54,1080,4,0
44,46,2024,10,1
34,84,2856,7,1
33,26,858,1,1
36,25,900,0,1
17,101,1717,4,0
57,90,5130,6,1
72,21,1512,1,0
20,89,1780,0,1
71,38,2698,6,1
17,25,425,4,1
6,65,390,3,1
32,105,3360,1,1
72,72,5184,9,1
20,50,1000,2,0
53,23,1219,2,1
53,105,5565,3,1
21,120,2520,1,1
5,80,400,3,1
26,78,2028,5,1
30,48,1440,0,0
52,62,3224,4,0
36,64,2304,10,1
66,71,4686,10,1
69,62,4278,0,0
34,42,1428,9,1
34,24,816,1,1
45,113,5085,5,1
66,34,2244,6,1
25,52,1300,0,1
1,86,86,8,1
26,66,1716,6,1
9,105,945,5,1
41,104,4264,1,1
65,59,3835,10,1
53,61,3233,6,1
38,90,3420,2,0
54,105,5670,6,1
23,98,2254,9,1
39,71,2769,8,1
1,58,58,4,1
27,75,2025,9,1
42,79,3318,7,1
57,106,6042,3,1
22,104,2288,1,1
66,104,6864,10,1
43,31,1333,3,1
29,45,1305,2,0
6,51,306,7,1
10,78,780,6,1
25,111,2775,6,1
64,71,4544,3,0
1,116,116,1,1
55,48,2640,2,1
7,91,637,3,1
16,78,1248,2,1
68,91,6188,9,1
41,116,4756,7,1
65,74,4810,8,1
58,40,2320,7,1
58,53,3074,3,1
67,82,5494,10,1
31,55,1705,7,1
10,111,1110,4,1
31,54,1674,5,1
70,30,2100,2,0
30,69,2070,2,0
9,73,657,6,1
43,89,3827,7,1
54,27,1458,3,1
50,118,5900,9,1
3,117,351,9,1
49,81,3969,0,1
39,116,4524,6,1
54,88,4752,8,1
29,82,2378,3,1
56,82,4592,0,1
44,105,4620,10,1
52,112,5824,2,1
17,99,1683,8,1
4,70,280,9,1
4,30,120,10,1
55,37,2035,7,1
24,26,624,4,1
42,47,1974,7,1
42,63,2646,6,1
36,116,4176,6,1
33,30,990,7,1
3,115,345,8,1
7,64,448,3,1
9,119,1071,10,1
6,116,696,0,1
32,45,1440,0,0
31,36,1116,7,1
15,92,1380,3,1
33,118,3894,5,0
15,119,1785,2,1
14,94,1316,0,1
49,70,3430,3,0
32,33,1056,4,0
6,64,384,8,1
55,104,5720,5,0
65,102,6630,5,0
54,82,4428,1,1
47,101,4747,7,1
20,75,1500,2,1
69,119,8211,7,1
60,75,4500,9,1
35,61,2135,3,0
36,77,2772,3,1
49,63,3087,0,1
42,43,1806,7,1
28,65,1820,4,1
36,96,3456,4,0
67,44,2948,1,0
53,82,4346,8,1
31,108,3348,7,1
63,77,4851,0,0
38,48,1824,6,1
32,59,1888,10,1
48,80,3840,8,1
68,64,4352,6,1
71,62,4402,5,1
35,59,2065,4,0
16,112,1792,3,1
16,115,1840,8,1
24,44,1056,3,1
36,112,4032,9,1
68,96,6528,4,0
25,57,1425,3,1
23,58,1334,0,0
36,25,900,0,1
17,101,1717,7,1
14,21,294,9,1
37,80,2960,7,1
57,63,3591,2,0
33,81,2673,1,0
52,82,4264,1,0
20,39,780,9,1
39,30,1170,3,0
72,117,8424,6,1
29,119,3451,8,1
49,77,3773,7,1
39,95,3705,6,1
40,92,3680,9,1
8,98,784,1,1
27,100,2700,3,1
11,40,440,3,1
23,90,2070,1,0
1,72,72,7,1
61,57,3477,0,0
37,110,4070,4,1
10,107,1070,3,1
34,120,4080,10,1
26,74,1924,1,0
20,54,1080,2,0
8,41,328,4,1
37,76,2812,1,1
39,109,4251,6,1
35,84,2940,8,1
64,76,4864,1,0
56,114,6384,5,1
4,31,124,3,1
3,117,351,10,1
35,93,3255,0,0
61,86,5246,10,1
57,55,3135,2,1
63,31,1953,7,1
45,72,3240,5,1
14,40,560,5,1
64,56,3584,10,1
52,117,6084,8,1
5,78,390,1,1
41,52,2132,5,0
52,85,4420,0,1
53,26,1378,3,1
64,100,6400,7,1
7,46,322,4,1
71,36,2556,4,1
63,35,2205,0,0
21,59,1239,8,1
2,90,180,6,1
12,48,576,1,1
16,102,1632,2,1
38,85,3230,4,1
62,80,4960,3,1
71,38,2698,6,1
25,96,2400,8,1
18,28,504,4,1
44,120,5280,8,1
35,20,700,4,1
63,39,2457,7,1
69,81,5589,5,1
71,117,8307,8,1
49,78,3822,5,0
31,93,2883,6,1
30,119,3570,6,1
6,60,360,7,1
49,69,3381,10,1
